section,original_question,generated_question,answer
General,good morning,Morning! How's the atmosphere at Fergusson College this morning?,Good morning! Ready for another productive day at Fergusson College?
General,good morning,Hello! Looking forward to a successful day at Fergusson College?,Good morning! Ready for another productive day at Fergusson College?
General,good morning,Good day! How's the vibe at Fergusson College today?,Good morning! Ready for another productive day at Fergusson College?
General,good morning,Hey! Ready to make the most of today at Fergusson College?,Good morning! Ready for another productive day at Fergusson College?
General,good morning,Morning! What exciting things do we have planned at Fergusson College today?,Good morning! Ready for another productive day at Fergusson College?
General,good morning,Greetings! How's the start of the day at Fergusson College?,Good morning! Ready for another productive day at Fergusson College?
General,good morning,Good morning! What’s on the agenda for today at Fergusson College?,Good morning! Ready for another productive day at Fergusson College?
General,good morning,Hi! Excited for what today brings at Fergusson College?,Good morning! Ready for another productive day at Fergusson College?
General,good evening,"Hello, how has your day been?",Good evening! How’s your day going?
General,good evening,Good evening! What have you been up to today?,Good evening! How’s your day going?
General,good evening,Hi there! How's your day treating you?,Good evening! How’s your day going?
General,good evening,Good evening! How are things going for you today?,Good evening! How’s your day going?
General,good evening,Hello! How has your day been so far?,Good evening! How’s your day going?
General,good evening,Good evening! What’s been the highlight of your day?,Good evening! How’s your day going?
General,good evening,Hi! How's your day progressing?,Good evening! How’s your day going?
General,good evening,Good evening! Has your day been good?,Good evening! How’s your day going?
General,good evening,Hey there! How's everything going with your day?,Good evening! How’s your day going?
General,good evening,Good evening! How's your day coming along?,Good evening! How’s your day going?
General,how are you,How are things going?,"I'm great, thank you! Always happy to chat about Fergusson College 😄"
General,how are you,How have you been?,"I'm great, thank you! Always happy to chat about Fergusson College 😄"
General,how are you,What's new with you?,"I'm great, thank you! Always happy to chat about Fergusson College 😄"
General,how are you,How's everything on your end?,"I'm great, thank you! Always happy to chat about Fergusson College 😄"
General,how are you,How's life treating you?,"I'm great, thank you! Always happy to chat about Fergusson College 😄"
General,how are you,Hope you're doing well! How are you?,"I'm great, thank you! Always happy to chat about Fergusson College 😄"
General,how are you,How are you feeling these days?,"I'm great, thank you! Always happy to chat about Fergusson College 😄"
General,how are you,What's up with you?,"I'm great, thank you! Always happy to chat about Fergusson College 😄"
General,how are you,How's your day going?,"I'm great, thank you! Always happy to chat about Fergusson College 😄"
General,how are you,Everything good with you?,"I'm great, thank you! Always happy to chat about Fergusson College 😄"
General,who are you,Can you introduce yourself?,"I’m your friendly Fergusson College chatbot — here to help with info, events, and academics!"
General,who are you,What’s your name?,"I’m your friendly Fergusson College chatbot — here to help with info, events, and academics!"
General,who are you,Who am I chatting with right now?,"I’m your friendly Fergusson College chatbot — here to help with info, events, and academics!"
General,who are you,May I know who you are?,"I’m your friendly Fergusson College chatbot — here to help with info, events, and academics!"
General,who are you,What do you go by?,"I’m your friendly Fergusson College chatbot — here to help with info, events, and academics!"
General,who are you,Could you tell me a bit about yourself?,"I’m your friendly Fergusson College chatbot — here to help with info, events, and academics!"
General,who are you,Who is this on the other end?,"I’m your friendly Fergusson College chatbot — here to help with info, events, and academics!"
General,who are you,What’s your role here?,"I’m your friendly Fergusson College chatbot — here to help with info, events, and academics!"
General,who are you,How should I address you?,"I’m your friendly Fergusson College chatbot — here to help with info, events, and academics!"
General,who are you,What’s your function as a chatbot?,"I’m your friendly Fergusson College chatbot — here to help with info, events, and academics!"
General,what is your name,What should I call you?,I’m the Fergusson College virtual assistant 🤖. You can call me Fergy!
General,what is your name,How do you prefer to be addressed?,I’m the Fergusson College virtual assistant 🤖. You can call me Fergy!
General,what is your name,What name do you go by?,I’m the Fergusson College virtual assistant 🤖. You can call me Fergy!
General,what is your name,Can you tell me your name?,I’m the Fergusson College virtual assistant 🤖. You can call me Fergy!
General,what is your name,What is your preferred name?,I’m the Fergusson College virtual assistant 🤖. You can call me Fergy!
General,what is your name,How can I refer to you?,I’m the Fergusson College virtual assistant 🤖. You can call me Fergy!
General,what is your name,What name do you use?,I’m the Fergusson College virtual assistant 🤖. You can call me Fergy!
General,what is your name,What should I name you?,I’m the Fergusson College virtual assistant 🤖. You can call me Fergy!
General,what is your name,What do you like to be called?,I’m the Fergusson College virtual assistant 🤖. You can call me Fergy!
General,what is your name,Do you have a name I can use?,I’m the Fergusson College virtual assistant 🤖. You can call me Fergy!
General,what can you do,What information can you provide?,"I can answer questions about Fergusson College — admissions, courses, events, labs, faculty, and more!"
General,what can you do,How can you assist me?,"I can answer questions about Fergusson College — admissions, courses, events, labs, faculty, and more!"
General,what can you do,What topics can you help with?,"I can answer questions about Fergusson College — admissions, courses, events, labs, faculty, and more!"
General,what can you do,What details do you have about Fergusson College?,"I can answer questions about Fergusson College — admissions, courses, events, labs, faculty, and more!"
General,what can you do,In what ways can you support my inquiries?,"I can answer questions about Fergusson College — admissions, courses, events, labs, faculty, and more!"
General,what can you do,What kind of questions can you help answer?,"I can answer questions about Fergusson College — admissions, courses, events, labs, faculty, and more!"
General,what can you do,What services do you offer?,"I can answer questions about Fergusson College — admissions, courses, events, labs, faculty, and more!"
General,what can you do,Can you tell me what you're knowledgeable about?,"I can answer questions about Fergusson College — admissions, courses, events, labs, faculty, and more!"
General,what can you do,What areas can you provide guidance on?,"I can answer questions about Fergusson College — admissions, courses, events, labs, faculty, and more!"
General,what can you do,What can I ask you regarding Fergusson College?,"I can answer questions about Fergusson College — admissions, courses, events, labs, faculty, and more!"
General,thank you,I appreciate your assistance!,You're welcome! 😊 Glad to help.
General,thank you,Thanks for your help!,You're welcome! 😊 Glad to help.
General,thank you,I’m grateful for your support!,You're welcome! 😊 Glad to help.
General,thank you,Thank you for your guidance!,You're welcome! 😊 Glad to help.
General,thank you,Thanks a lot for your help!,You're welcome! 😊 Glad to help.
General,thank you,I value your assistance!,You're welcome! 😊 Glad to help.
General,thank you,I'm thankful for your help!,You're welcome! 😊 Glad to help.
General,thank you,Thank you for your information!,You're welcome! 😊 Glad to help.
General,thank you,I really appreciate your help!,You're welcome! 😊 Glad to help.
General,thank you,Thanks for your assistance!,You're welcome! 😊 Glad to help.
General,thanks,I appreciate it!,Anytime! Feel free to ask more about Fergusson College.
General,thanks,Thank you for your help!,Anytime! Feel free to ask more about Fergusson College.
General,thanks,Thanks for the information!,Anytime! Feel free to ask more about Fergusson College.
General,thanks,I really appreciate your assistance!,Anytime! Feel free to ask more about Fergusson College.
General,thanks,Thanks a lot for the details!,Anytime! Feel free to ask more about Fergusson College.
General,thanks,Thank you for answering my questions!,Anytime! Feel free to ask more about Fergusson College.
General,thanks,I'm grateful for your support!,Anytime! Feel free to ask more about Fergusson College.
General,thanks,Thanks for your guidance!,Anytime! Feel free to ask more about Fergusson College.
General,thanks,I appreciate your insights!,Anytime! Feel free to ask more about Fergusson College.
General,thanks,Thank you for your assistance!,Anytime! Feel free to ask more about Fergusson College.
General,bye,What is the deadline for submitting my application?,Goodbye! Have a great day and study well 📚
General,bye,When do applications need to be in by?,Goodbye! Have a great day and study well 📚
General,bye,Could you tell me the final date to apply?,Goodbye! Have a great day and study well 📚
General,bye,When is the cut-off for application submissions?,Goodbye! Have a great day and study well 📚
General,bye,What date do I need to have my application finished by?,Goodbye! Have a great day and study well 📚
General,bye,When do I need to submit my application by?,Goodbye! Have a great day and study well 📚
General,bye,What is the last day to turn in my application?,Goodbye! Have a great day and study well 📚
General,bye,When does the application period close?,Goodbye! Have a great day and study well 📚
General,bye,Could you clarify the due date for applications?,Goodbye! Have a great day and study well 📚
General,bye,When must I have my application completed?,Goodbye! Have a great day and study well 📚
General,see you,Looking forward to seeing you!,See you soon! Don’t forget to check out upcoming college events!
General,see you,Catch you later!,See you soon! Don’t forget to check out upcoming college events!
General,see you,Excited to see you again soon!,See you soon! Don’t forget to check out upcoming college events!
General,see you,Until next time!,See you soon! Don’t forget to check out upcoming college events!
General,see you,Can't wait to see you again!,See you soon! Don’t forget to check out upcoming college events!
General,see you,"See you later, alligator!",See you soon! Don’t forget to check out upcoming college events!
General,see you,Talk to you soon!,See you soon! Don’t forget to check out upcoming college events!
General,see you,Hope to see you at the next event!,See you soon! Don’t forget to check out upcoming college events!
General,see you,See you at the upcoming college activities!,See you soon! Don’t forget to check out upcoming college events!
General,see you,Looking forward to our next meeting!,See you soon! Don’t forget to check out upcoming college events!
General,what is fergusson college,Can you tell me about Fergusson College?,"Fergusson College, Pune, is one of India’s oldest and most prestigious institutions, established in 1885."
General,what is fergusson college,What can you share about Fergusson College?,"Fergusson College, Pune, is one of India’s oldest and most prestigious institutions, established in 1885."
General,what is fergusson college,What is the history of Fergusson College?,"Fergusson College, Pune, is one of India’s oldest and most prestigious institutions, established in 1885."
General,what is fergusson college,Could you explain what Fergusson College is?,"Fergusson College, Pune, is one of India’s oldest and most prestigious institutions, established in 1885."
General,what is fergusson college,What kind of institution is Fergusson College?,"Fergusson College, Pune, is one of India’s oldest and most prestigious institutions, established in 1885."
General,what is fergusson college,Where is Fergusson College located and when was it founded?,"Fergusson College, Pune, is one of India’s oldest and most prestigious institutions, established in 1885."
General,what is fergusson college,What makes Fergusson College significant?,"Fergusson College, Pune, is one of India’s oldest and most prestigious institutions, established in 1885."
General,what is fergusson college,What details should I know about Fergusson College?,"Fergusson College, Pune, is one of India’s oldest and most prestigious institutions, established in 1885."
General,what is fergusson college,How old is Fergusson College and what are its key features?,"Fergusson College, Pune, is one of India’s oldest and most prestigious institutions, established in 1885."
General,what is fergusson college,Is Fergusson College a well-known educational institution?,"Fergusson College, Pune, is one of India’s oldest and most prestigious institutions, established in 1885."
General,where is fergusson college,Can you tell me the location of Fergusson College?,"Fergusson College is located on FC Road, Pune, Maharashtra, India."
General,where is fergusson college,Where can I find Fergusson College?,"Fergusson College is located on FC Road, Pune, Maharashtra, India."
General,where is fergusson college,What is the address of Fergusson College?,"Fergusson College is located on FC Road, Pune, Maharashtra, India."
General,where is fergusson college,In which city is Fergusson College situated?,"Fergusson College is located on FC Road, Pune, Maharashtra, India."
General,where is fergusson college,Could you let me know where Fergusson College is based?,"Fergusson College is located on FC Road, Pune, Maharashtra, India."
General,where is fergusson college,Where exactly is Fergusson College located?,"Fergusson College is located on FC Road, Pune, Maharashtra, India."
General,where is fergusson college,What is the physical address of Fergusson College?,"Fergusson College is located on FC Road, Pune, Maharashtra, India."
General,where is fergusson college,Can you share the location details for Fergusson College?,"Fergusson College is located on FC Road, Pune, Maharashtra, India."
General,where is fergusson college,Where is Fergusson College found?,"Fergusson College is located on FC Road, Pune, Maharashtra, India."
General,where is fergusson college,What's the street address for Fergusson College?,"Fergusson College is located on FC Road, Pune, Maharashtra, India."
General,when was fergusson founded,What year was Fergusson College established?,Fergusson College was founded in 1885 by the Deccan Education Society.
General,when was fergusson founded,Can you tell me the founding year of Fergusson College?,Fergusson College was founded in 1885 by the Deccan Education Society.
General,when was fergusson founded,In which year did Fergusson College start?,Fergusson College was founded in 1885 by the Deccan Education Society.
General,when was fergusson founded,When did Fergusson College first open its doors?,Fergusson College was founded in 1885 by the Deccan Education Society.
General,when was fergusson founded,What is the origin year of Fergusson College?,Fergusson College was founded in 1885 by the Deccan Education Society.
General,when was fergusson founded,Could you share the year Fergusson College was created?,Fergusson College was founded in 1885 by the Deccan Education Society.
General,when was fergusson founded,When was the inception of Fergusson College?,Fergusson College was founded in 1885 by the Deccan Education Society.
General,when was fergusson founded,Which year marks the establishment of Fergusson College?,Fergusson College was founded in 1885 by the Deccan Education Society.
General,when was fergusson founded,What year was Fergusson College founded in?,Fergusson College was founded in 1885 by the Deccan Education Society.
General,when was fergusson founded,Do you know the year that Fergusson College was set up?,Fergusson College was founded in 1885 by the Deccan Education Society.
General,who founded fergusson college,Can you tell me who established Fergusson College?,It was founded by great leaders like Lokmanya Tilak and Gopal Krishna Gokhale.
General,who founded fergusson college,Who were the founders of Fergusson College?,It was founded by great leaders like Lokmanya Tilak and Gopal Krishna Gokhale.
General,who founded fergusson college,I'd like to know who started Fergusson College.,It was founded by great leaders like Lokmanya Tilak and Gopal Krishna Gokhale.
General,who founded fergusson college,Who is credited with founding Fergusson College?,It was founded by great leaders like Lokmanya Tilak and Gopal Krishna Gokhale.
General,who founded fergusson college,Could you share the names of the people who founded Fergusson College?,It was founded by great leaders like Lokmanya Tilak and Gopal Krishna Gokhale.
General,who founded fergusson college,Who played a key role in the establishment of Fergusson College?,It was founded by great leaders like Lokmanya Tilak and Gopal Krishna Gokhale.
General,who founded fergusson college,Do you know who initiated the founding of Fergusson College?,It was founded by great leaders like Lokmanya Tilak and Gopal Krishna Gokhale.
General,who founded fergusson college,Who are the notable figures behind the founding of Fergusson College?,It was founded by great leaders like Lokmanya Tilak and Gopal Krishna Gokhale.
General,who founded fergusson college,Can you identify the founders of Fergusson College for me?,It was founded by great leaders like Lokmanya Tilak and Gopal Krishna Gokhale.
General,who founded fergusson college,Who is recognized as the founder of Fergusson College?,It was founded by great leaders like Lokmanya Tilak and Gopal Krishna Gokhale.
General,what is the motto of fergusson,What does Fergusson's motto say?,The college motto is 'Knowledge is Power'.
General,what is the motto of fergusson,Can you tell me the motto of Fergusson College?,The college motto is 'Knowledge is Power'.
General,what is the motto of fergusson,What is the phrase that represents Fergusson College's values?,The college motto is 'Knowledge is Power'.
General,what is the motto of fergusson,What is the guiding principle or motto of Fergusson?,The college motto is 'Knowledge is Power'.
General,what is the motto of fergusson,What is the inspiring motto of Fergusson College?,The college motto is 'Knowledge is Power'.
General,what is the motto of fergusson,Could you share the motto associated with Fergusson?,The college motto is 'Knowledge is Power'.
General,what is the motto of fergusson,What motto does Fergusson College live by?,The college motto is 'Knowledge is Power'.
General,what is the motto of fergusson,What is the core motto of Fergusson?,The college motto is 'Knowledge is Power'.
General,what is the motto of fergusson,What is the official motto of Fergusson College?,The college motto is 'Knowledge is Power'.
General,what is the motto of fergusson,What does Fergusson College stand for in its motto?,The college motto is 'Knowledge is Power'.
General,who is principal,Who holds the position of principal?,The Principal of Fergusson College is Dr. R. G. Pardeshi.
General,who is principal,Can you tell me who the principal is?,The Principal of Fergusson College is Dr. R. G. Pardeshi.
General,who is principal,Who is currently serving as the principal?,The Principal of Fergusson College is Dr. R. G. Pardeshi.
General,who is principal,What is the name of the principal?,The Principal of Fergusson College is Dr. R. G. Pardeshi.
General,who is principal,Who is the head of Fergusson College?,The Principal of Fergusson College is Dr. R. G. Pardeshi.
General,who is principal,Could you let me know who the principal is?,The Principal of Fergusson College is Dr. R. G. Pardeshi.
General,who is principal,Who is the main administrator at the college?,The Principal of Fergusson College is Dr. R. G. Pardeshi.
General,who is principal,Who leads Fergusson College as the principal?,The Principal of Fergusson College is Dr. R. G. Pardeshi.
General,who is principal,Can you share the name of the principal?,The Principal of Fergusson College is Dr. R. G. Pardeshi.
General,who is principal,Who is in charge of Fergusson College as the principal?,The Principal of Fergusson College is Dr. R. G. Pardeshi.
General,who is vice principal,Can you tell me who the Vice Principal is?,The Vice Principal is Dr. R. J. Mahajan.
General,who is vice principal,Who holds the position of Vice Principal?,The Vice Principal is Dr. R. J. Mahajan.
General,who is vice principal,Who is currently serving as Vice Principal?,The Vice Principal is Dr. R. J. Mahajan.
General,who is vice principal,Could you let me know the name of the Vice Principal?,The Vice Principal is Dr. R. J. Mahajan.
General,who is vice principal,Who is the Vice Principal at this school?,The Vice Principal is Dr. R. J. Mahajan.
General,who is vice principal,What is the name of our Vice Principal?,The Vice Principal is Dr. R. J. Mahajan.
General,who is vice principal,Do you know who the Vice Principal is?,The Vice Principal is Dr. R. J. Mahajan.
General,who is vice principal,Who should I refer to as the Vice Principal?,The Vice Principal is Dr. R. J. Mahajan.
General,who is vice principal,Can you share the name of the Vice Principal?,The Vice Principal is Dr. R. J. Mahajan.
General,who is vice principal,Who's the person in charge of the Vice Principal role?,The Vice Principal is Dr. R. J. Mahajan.
General,who is hod of computer science,Can you tell me who the head of the computer science department is?,The HOD of Computer Science is Dr. A. Sharma.
General,who is hod of computer science,Who is currently leading the computer science program?,The HOD of Computer Science is Dr. A. Sharma.
General,who is hod of computer science,Who holds the position of head of the computer science faculty?,The HOD of Computer Science is Dr. A. Sharma.
General,who is hod of computer science,Could you let me know who the chair of the computer science department is?,The HOD of Computer Science is Dr. A. Sharma.
General,who is hod of computer science,Who is the department head for computer science?,The HOD of Computer Science is Dr. A. Sharma.
General,who is hod of computer science,What is the name of the person in charge of the computer science department?,The HOD of Computer Science is Dr. A. Sharma.
General,who is hod of computer science,Who is the head of the computer science division?,The HOD of Computer Science is Dr. A. Sharma.
General,who is hod of computer science,Can you share who the director of computer science is?,The HOD of Computer Science is Dr. A. Sharma.
General,who is hod of computer science,Who oversees the computer science department?,The HOD of Computer Science is Dr. A. Sharma.
General,who is hod of computer science,Who is the lead faculty member for the computer science program?,The HOD of Computer Science is Dr. A. Sharma.
General,who is hod of physics,Who leads the Physics Department?,The HOD of Physics Department is Prof. K. Deshmukh.
General,who is hod of physics,Can you tell me who the head of Physics is?,The HOD of Physics Department is Prof. K. Deshmukh.
General,who is hod of physics,Who is the chair of the Physics Department?,The HOD of Physics Department is Prof. K. Deshmukh.
General,who is hod of physics,Who oversees the Physics Department?,The HOD of Physics Department is Prof. K. Deshmukh.
General,who is hod of physics,Who is the department head for Physics?,The HOD of Physics Department is Prof. K. Deshmukh.
General,who is hod of physics,Who is in charge of the Physics Division?,The HOD of Physics Department is Prof. K. Deshmukh.
General,who is hod of physics,May I ask who the Physics HOD is?,The HOD of Physics Department is Prof. K. Deshmukh.
General,who is hod of physics,Who currently holds the position of head of Physics?,The HOD of Physics Department is Prof. K. Deshmukh.
General,who is hod of physics,Could you let me know who the head of the Physics Department is?,The HOD of Physics Department is Prof. K. Deshmukh.
General,who is hod of physics,Who is responsible for the Physics Department?,The HOD of Physics Department is Prof. K. Deshmukh.
General,who is hod of electronics,Who is the leader of the Electronics Department?,Dr. Sneha Kulkarni heads the Electronics Department.
General,who is hod of electronics,Can you tell me who the head of the Electronics program is?,Dr. Sneha Kulkarni heads the Electronics Department.
General,who is hod of electronics,Who is currently in charge of the Electronics Department?,Dr. Sneha Kulkarni heads the Electronics Department.
General,who is hod of electronics,Who oversees the Electronics Department?,Dr. Sneha Kulkarni heads the Electronics Department.
General,who is hod of electronics,Who is the director of the Electronics Division?,Dr. Sneha Kulkarni heads the Electronics Department.
General,who is hod of electronics,Who is the head faculty member for Electronics?,Dr. Sneha Kulkarni heads the Electronics Department.
General,who is hod of electronics,Could you let me know who leads the Electronics Department?,Dr. Sneha Kulkarni heads the Electronics Department.
General,who is hod of electronics,Who holds the position of head of the Electronics Department?,Dr. Sneha Kulkarni heads the Electronics Department.
General,who is hod of electronics,Who is responsible for the Electronics faculty?,Dr. Sneha Kulkarni heads the Electronics Department.
General,who is hod of electronics,Who manages the Electronics Department?,Dr. Sneha Kulkarni heads the Electronics Department.
General,who is hod of mathematics,Can you tell me who the head of the Mathematics department is?,The HOD of Mathematics is Prof. R. Patil.
General,who is hod of mathematics,Who currently leads the Mathematics department?,The HOD of Mathematics is Prof. R. Patil.
General,who is hod of mathematics,Who is the head of the Mathematics faculty?,The HOD of Mathematics is Prof. R. Patil.
General,who is hod of mathematics,Could you let me know who the Mathematics department chair is?,The HOD of Mathematics is Prof. R. Patil.
General,who is hod of mathematics,Who oversees the Mathematics program?,The HOD of Mathematics is Prof. R. Patil.
General,who is hod of mathematics,Who holds the position of HOD for Mathematics?,The HOD of Mathematics is Prof. R. Patil.
General,who is hod of mathematics,Who is in charge of the Mathematics department?,The HOD of Mathematics is Prof. R. Patil.
General,who is hod of mathematics,Who is the current head of the Math department?,The HOD of Mathematics is Prof. R. Patil.
General,who is hod of mathematics,Can you share the name of the Mathematics department head?,The HOD of Mathematics is Prof. R. Patil.
General,who is hod of mathematics,Who is the leader of the Mathematics faculty?,The HOD of Mathematics is Prof. R. Patil.
General,what courses are offered,What degree programs can I choose from?,"The college offers BA, B.Sc, BCA, M.Sc (CA), M.Sc (CS), M.A, and Ph.D programs."
General,what courses are offered,Can you tell me about the available courses at the college?,"The college offers BA, B.Sc, BCA, M.Sc (CA), M.Sc (CS), M.A, and Ph.D programs."
General,what courses are offered,What types of academic programs are offered here?,"The college offers BA, B.Sc, BCA, M.Sc (CA), M.Sc (CS), M.A, and Ph.D programs."
General,what courses are offered,Which majors and degrees does the college provide?,"The college offers BA, B.Sc, BCA, M.Sc (CA), M.Sc (CS), M.A, and Ph.D programs."
General,what courses are offered,What are the different courses available for students?,"The college offers BA, B.Sc, BCA, M.Sc (CA), M.Sc (CS), M.A, and Ph.D programs."
General,what courses are offered,Could you list the programs that the college offers?,"The college offers BA, B.Sc, BCA, M.Sc (CA), M.Sc (CS), M.A, and Ph.D programs."
General,what courses are offered,What academic options can I pursue at this institution?,"The college offers BA, B.Sc, BCA, M.Sc (CA), M.Sc (CS), M.A, and Ph.D programs."
General,what courses are offered,What kinds of degrees can I enroll in?,"The college offers BA, B.Sc, BCA, M.Sc (CA), M.Sc (CS), M.A, and Ph.D programs."
General,what courses are offered,What programs are available for undergraduate and graduate students?,"The college offers BA, B.Sc, BCA, M.Sc (CA), M.Sc (CS), M.A, and Ph.D programs."
General,what courses are offered,Can you provide details on the courses the college has?,"The college offers BA, B.Sc, BCA, M.Sc (CA), M.Sc (CS), M.A, and Ph.D programs."
General,what is msc ca,What does M.Sc CA stand for?,"M.Sc CA focuses on programming, databases, AI, and full-stack development."
General,what is msc ca,Can you explain what the M.Sc CA program involves?,"M.Sc CA focuses on programming, databases, AI, and full-stack development."
General,what is msc ca,What topics are covered in the M.Sc CA course?,"M.Sc CA focuses on programming, databases, AI, and full-stack development."
General,what is msc ca,What is included in the curriculum of M.Sc CA?,"M.Sc CA focuses on programming, databases, AI, and full-stack development."
General,what is msc ca,Could you tell me about the focus areas of the M.Sc CA degree?,"M.Sc CA focuses on programming, databases, AI, and full-stack development."
General,what is msc ca,What are the main subjects studied in the M.Sc CA program?,"M.Sc CA focuses on programming, databases, AI, and full-stack development."
General,what is msc ca,What does the M.Sc CA specialization entail?,"M.Sc CA focuses on programming, databases, AI, and full-stack development."
General,what is msc ca,What can I expect to learn in M.Sc CA?,"M.Sc CA focuses on programming, databases, AI, and full-stack development."
General,what is msc ca,What are the key areas of study in M.Sc CA?,"M.Sc CA focuses on programming, databases, AI, and full-stack development."
General,what is msc ca,What skills does the M.Sc CA program teach?,"M.Sc CA focuses on programming, databases, AI, and full-stack development."
General,what is msc cs,Can you explain what an M.Sc in Computer Science involves?,"M.Sc Computer Science emphasizes algorithms, machine learning, and system design."
General,what is msc cs,What topics are covered in a Master's program for Computer Science?,"M.Sc Computer Science emphasizes algorithms, machine learning, and system design."
General,what is msc cs,What does the curriculum of an M.Sc in Computer Science look like?,"M.Sc Computer Science emphasizes algorithms, machine learning, and system design."
General,what is msc cs,What key areas are focused on in a Master's degree in Computer Science?,"M.Sc Computer Science emphasizes algorithms, machine learning, and system design."
General,what is msc cs,What is included in the study of M.Sc Computer Science?,"M.Sc Computer Science emphasizes algorithms, machine learning, and system design."
General,what is msc cs,Could you tell me about the main subjects taught in an M.Sc in Computer Science?,"M.Sc Computer Science emphasizes algorithms, machine learning, and system design."
General,what is msc cs,What are the primary components of a Master’s degree in Computer Science?,"M.Sc Computer Science emphasizes algorithms, machine learning, and system design."
General,what is msc cs,What will I learn in an M.Sc in Computer Science program?,"M.Sc Computer Science emphasizes algorithms, machine learning, and system design."
General,what is msc cs,What does pursuing an M.Sc in Computer Science entail?,"M.Sc Computer Science emphasizes algorithms, machine learning, and system design."
General,what is msc cs,Can you summarize what M.Sc Computer Science focuses on?,"M.Sc Computer Science emphasizes algorithms, machine learning, and system design."
General,what is bca,Can you explain what BCA stands for?,BCA is an undergraduate program focused on computer applications and IT skills.
General,what is bca,What does BCA mean?,BCA is an undergraduate program focused on computer applications and IT skills.
General,what is bca,What is the BCA program about?,BCA is an undergraduate program focused on computer applications and IT skills.
General,what is bca,Could you tell me what BCA is?,BCA is an undergraduate program focused on computer applications and IT skills.
General,what is bca,What does pursuing a BCA involve?,BCA is an undergraduate program focused on computer applications and IT skills.
General,what is bca,What is included in a BCA degree?,BCA is an undergraduate program focused on computer applications and IT skills.
General,what is bca,Can you provide details on the BCA course?,BCA is an undergraduate program focused on computer applications and IT skills.
General,what is bca,What are the main topics covered in a BCA program?,BCA is an undergraduate program focused on computer applications and IT skills.
General,what is bca,What is the focus of the BCA degree?,BCA is an undergraduate program focused on computer applications and IT skills.
General,what is bca,What type of studies are involved in BCA?,BCA is an undergraduate program focused on computer applications and IT skills.
General,what is bsc cs,Can you explain what a B.Sc in Computer Science is?,"B.Sc CS is a foundation program in computing, programming, and data structures."
General,what is bsc cs,What does the B.Sc CS program entail?,"B.Sc CS is a foundation program in computing, programming, and data structures."
General,what is bsc cs,What is included in a Bachelor of Science in Computer Science?,"B.Sc CS is a foundation program in computing, programming, and data structures."
General,what is bsc cs,Could you tell me about the B.Sc CS degree?,"B.Sc CS is a foundation program in computing, programming, and data structures."
General,what is bsc cs,What can I expect from a B.Sc in Computer Science?,"B.Sc CS is a foundation program in computing, programming, and data structures."
General,what is bsc cs,What does B.Sc CS stand for and what does it involve?,"B.Sc CS is a foundation program in computing, programming, and data structures."
General,what is bsc cs,What are the key components of a B.Sc in CS?,"B.Sc CS is a foundation program in computing, programming, and data structures."
General,what is bsc cs,What's the curriculum like for a B.Sc in Computer Science?,"B.Sc CS is a foundation program in computing, programming, and data structures."
